ticker,monday,token_drift,actual_gap
AAOI,2026-07-20,0.03451,0.02392
AMD,2026-06-29,0.01454,0.00242
AMD,2026-07-13,-0.02778,-0.03655
AMD,2026-07-20,0.03559,0.04284
ARM,2026-07-20,0.02671,0.01800
AVGO,2026-07-20,0.02065,0.02138
BABA,2026-07-20,0.03488,0.03427
CBRS,2026-07-13,-0.02323,-0.03664
CBRS,2026-07-20,0.01512,0.02169
COIN,2026-07-13,-0.01614,-0.01804
COIN,2026-07-20,0.01370,0.00681
CRCL,2026-06-15,0.05441,0.06488
CRCL,2026-06-29,0.01792,0.02188
CRCL,2026-07-13,-0.01979,-0.02601
CRCL,2026-07-20,0.01271,0.00810
DRAM,2026-07-13,-0.09101,-0.08788
DRAM,2026-07-20,0.02733,0.02902
EWY,2026-06-29,-0.00813,-0.00669
EWY,2026-07-13,-0.07357,-0.07198
EWY,2026-07-20,0.01595,0.01637
GLW,2026-07-13,-0.03533,-0.02955
GLW,2026-07-20,0.03047,0.02102
GOOGL,2026-07-13,-0.00313,-0.00277
GOOGL,2026-07-20,0.00464,0.01185
HOOD,2026-07-20,0.02452,0.02531
IBM,2026-07-20,-0.00739,-0.01223
INTC,2026-06-29,0.00609,-0.01029
INTC,2026-07-13,-0.03434,-0.03514
INTC,2026-07-20,0.02483,0.02673
LITE,2026-07-13,-0.03089,-0.02946
LITE,2026-07-20,0.04098,0.04273
META,2026-07-13,-0.00571,-0.01170
META,2026-07-20,-0.00082,0.00107
MRVL,2026-07-20,0.03470,0.02295
MSFT,2026-07-13,0.00402,0.00688
MSFT,2026-07-20,-0.01323,-0.00612
MSTR,2026-06-29,0.05673,0.04082
MSTR,2026-07-13,-0.03154,-0.03328
MSTR,2026-07-20,0.01744,0.00812
MU,2026-06-15,0.07678,0.07567
MU,2026-06-29,0.00308,-0.00321
MU,2026-07-13,-0.05417,-0.05136
MU,2026-07-20,0.03891,0.04314
NBIS,2026-07-13,-0.03436,-0.03169
NBIS,2026-07-20,0.05709,0.05208
NOK,2026-07-20,0.01576,0.00988
NVDA,2026-06-15,0.01516,0.01818
NVDA,2026-06-29,0.01390,0.00686
NVDA,2026-07-13,-0.01338,-0.01147
NVDA,2026-07-20,0.01633,0.01509
PLTR,2026-07-13,0.00473,0.00398
PLTR,2026-07-20,-0.01317,-0.00378
QCOM,2026-07-13,-0.02519,-0.02167
QCOM,2026-07-20,0.01380,0.02195
QQQ,2026-07-13,-0.00972,-0.01074
QQQ,2026-07-20,0.00842,0.00982
RKLB,2026-07-20,0.03054,0.01139
SNDK,2026-06-15,0.05324,0.06112
SNDK,2026-06-29,0.00977,0.00000
SNDK,2026-07-13,-0.05685,-0.06423
SNDK,2026-07-20,0.03326,0.03983
SOXL,2026-07-13,-0.09347,-0.09180
SOXL,2026-07-20,0.06921,0.05942
SPCX,2026-06-15,0.05937,0.06704
SPCX,2026-06-29,0.02228,0.02695
SPCX,2026-07-13,-0.01627,-0.00413
SPCX,2026-07-20,0.01161,0.01048
SPY,2026-07-13,-0.00351,-0.00329
SPY,2026-07-20,0.00293,0.00507
TSLA,2026-06-15,0.01620,0.01462
TSLA,2026-06-29,0.00769,0.00548
TSLA,2026-07-13,-0.00931,-0.00773
TSLA,2026-07-20,0.00896,0.01368
TSM,2026-07-20,0.02555,0.02345
WDC,2026-07-13,-0.05457,-0.05307
WDC,2026-07-20,0.02832,0.02963
